scenario,age,cause,sex,year,well,sick,newcases,dead,pop,all.mx,intervention,location
baseline,43,ihd,Female,2034,1966282.17387825,23671.8463869457,1825.88121652776,1601.71591578026,1998502.27493228,8548.2546670863,b.a.u,Indonesia
fair_only,43,ihd,Male,2023,2001384.05500174,45459.5903699596,4919.20475216503,1465.90944941957,2056017.74630469,9174.10093299271,FAIR,Indonesia
fair_only,73,dm2,Female,2039,799400.757863009,268776.281728086,5416.20422155785,3644.54520173922,1100022.765263,31845.725671909,FAIR,Indonesia
all_plus_fair,48,hhd,Male,2045,2089760.53829248,3197.53893197696,710.091494750068,608.776606275474,2113691.46927013,20733.3920456698,FAIR,Indonesia
all_plus_fair,62,hstroke,Female,2043,1708740.02970033,17858.4165388819,8093.04166909419,10803.0533562669,1756989.68880558,30391.2425663633,FAIR,Indonesia
fair_only,5,rhd,Male,2017,2554867.61022795,1390.95704966361,0,6.88216176256455,2558834.5,2582.81488414828,FAIR,Indonesia
baseline,9,hstroke,Male,2023,2468876.77835477,1688.49317749231,167.720634808539,15.3002788350284,2471850.18536257,1284.9138303047,b.a.u,Indonesia
baseline,12,cmd,Female,2021,2310354.76883763,377.289779740837,16.5332031873785,10.4434945533307,2311635.38763125,903.32901388615,b.a.u,Indonesia
fair_only,73,cmd,Female,2020,529831.747559538,255.770040013991,47.3646527323547,40.8694127283013,546257.215280524,16169.6976809724,FAIR,Indonesia
baseline,35,hhd,Male,2021,2113745.73256371,426.88295839618,103.30970994546,69.9397384550222,2119553.20452534,5380.58900322845,b.a.u,Indonesia
baseline,43,rhd,Male,2050,2246311.93862015,16668.663062325,60.6779922288512,40.8257954118844,2272938.23581848,9957.63413600506,b.a.u,Indonesia
baseline,2,hhd,Female,2021,2113850.86266077,0,0,0,2119435.87563992,5585.01297914709,b.a.u,Indonesia
fair_only,65,hstroke,Female,2019,824443.689915453,8529.5762424893,4660.2773398675,4653.33288695082,849503.436739344,16530.1705814018,FAIR,Indonesia
fair_only,15,dm2,Male,2024,2423865.37764708,2078.87940155564,1385.99047582236,0.201084723683489,2427908.79647841,1964.53942977261,FAIR,Indonesia
fair_only,25,rhd,Female,2040,2264147.41917537,18599.3085607323,893.509200300717,50.9850392428132,2285185.19914695,2438.47141085311,FAIR,Indonesia
fair_only,61,cmd,Female,2048,1719167.42719384,484.609766216694,91.6925496616252,93.5746350017122,1749490.54166978,29838.5047097213,FAIR,Indonesia
baseline,62,hhd,Male,2049,1572558.67719601,6066.69158358163,2344.3159397097,1491.42307167945,1616627.98162881,38002.6128492143,b.a.u,Indonesia
fair_only,23,rhd,Female,2029,2228683.80529504,16554.7314088935,1080.21893846851,49.586021948592,2247713.93391608,2475.39721214243,FAIR,Indonesia
baseline,84,hhd,Male,2047,366142.497576907,5312.85557884754,1075.31735504991,952.048546577321,405412.871960998,33957.5188052428,b.a.u,Indonesia
fair_only,18,cmd,Male,2021,2265150.95029769,534.294044357377,13.8952314876886,20.9659074445886,2268787.99341682,3102.7490747709,FAIR,Indonesia
fair_only,81,hstroke,Male,2044,478598.519323923,3729.49331937594,3864.78228625062,2894.30516480629,516748.139306402,34420.1266631025,FAIR,Indonesia
baseline,90,istroke,Female,2028,126821.302019915,8428.92610351573,2290.73484372202,2169.0006282333,149527.843318612,14277.6151951813,b.a.u,Indonesia
fair_only,12,cmd,Female,2049,2115502.0639991,336.042658437566,15.136266973415,10.1928181895224,2116310.15831568,472.051658137937,FAIR,Indonesia
baseline,67,cmd,Female,2024,915504.327117818,283.983815043822,64.7429804212623,31.2595343600602,934636.817098394,18848.5061655323,b.a.u,Indonesia
fair_only,35,ihd,Female,2044,2230003.10136392,19771.7561548283,1830.68861733571,705.689813596893,2254230.08106257,4455.22354381695,FAIR,Indonesia
fair_only,71,hhd,Female,2039,1175552.87154107,11355.0518980443,2654.64201303161,400.30562404688,1219276.1868985,32368.2634593857,FAIR,Indonesia
baseline,85,hhd,Male,2031,161013.584513073,2454.72146007497,481.375009227053,457.619097057559,180014.532966452,16546.2269933047,b.a.u,Indonesia
fair_only,60,istroke,Female,2045,1753751.33196948,45858.7833121682,5681.68206092209,1155.02065324722,1822126.98007161,22516.8647899534,FAIR,Indonesia
baseline,38,hhd,Female,2022,2085107.16004913,822.136958886757,106.156646100712,42.5217691303391,2090907.03374843,4977.73674041231,b.a.u,Indonesia
fair_only,57,hstroke,Male,2029,1551987.18318539,9963.03929447006,3443.50810959218,4390.44116358831,1588076.98722307,26126.7647432157,FAIR,Indonesia
fair_only,49,rhd,Male,2021,1726515.9497717,11541.5524976636,63.2789552913292,32.1591258376806,1755951.19618974,17893.6939203789,FAIR,Indonesia
baseline,76,cmd,Male,2033,514323.501073363,840.588672750368,108.344007583902,220.17709667152,543714.901392857,28550.811646743,b.a.u,Indonesia
fair_only,40,istroke,Female,2045,2125217.55109968,11470.2398828126,900.951526684051,168.857699158069,2142915.31883091,6227.52784842113,FAIR,Indonesia
fair_only,76,istroke,Female,2032,638062.768255224,44744.4214995451,6099.3472739015,2477.34676090452,705933.165267711,23125.9755129413,FAIR,Indonesia
baseline,39,dm2,Male,2033,1985338.92791896,147164.033504583,10204.1153190412,201.423278411345,2140028.05330467,7525.09188113323,b.a.u,Indonesia
fair_only,91,hhd,Male,2023,25122.7580346629,997.453256029798,264.942583679393,134.320453601527,30675.9380825895,4555.72679189688,FAIR,Indonesia
baseline,17,rhd,Female,2047,2097761.00772945,8603.77350433199,1237.13256577613,53.6365843070465,2107749.94200486,1385.16077107742,b.a.u,Indonesia
all_plus_fair,78,cmd,Male,2037,504927.859416311,823.893264766568,127.55475853571,151.963683084594,534830.134617998,29078.3819369208,FAIR,Indonesia
fair_only,41,rhd,Female,2043,2043218.00330007,18117.3770808964,131.242002998115,104.544450355015,2068784.20145739,7448.82107642152,FAIR,Indonesia
all_plus_fair,20,dm2,Female,2042,2080447.3885921,12310.2719589657,2679.97903787393,7.19986174156925,2094732.78650996,1975.12595889484,FAIR,Indonesia
fair_only,33,istroke,Female,2045,2356381.12239499,8244.8801056195,541.355493641702,90.923315118577,2368591.95497594,3965.95247532759,FAIR,Indonesia
fair_only,48,istroke,Female,2026,1885983.60223822,15286.7522359458,1345.61675914572,391.137549710527,1910530.98825983,9260.63378566541,FAIR,Indonesia
fair_only,26,dm2,Female,2034,2238444.97128165,42222.486849861,4454.7654462539,23.4149764557425,2283535.27465701,2867.81652549884,FAIR,Indonesia
all_plus_fair,50,cmd,Male,2022,1719043.69717623,317.722058048582,57.4873325178893,79.11938361899,1738057.50226936,18696.0830350813,FAIR,Indonesia
all_plus_fair,41,hstroke,Male,2026,2104352.93113127,9895.68361520343,1331.93152018989,1516.08296508294,2122347.07519022,8098.46044374814,FAIR,Indonesia
