cause,year,prev_model,death_model,prev_target,death_target
rhd,2031,1636914.77633066,4274.72729327381,1426645.9237339,3936.34831013924
rhd,2032,1658212.53244257,4125.72247917104,1435897.53580352,3813.82998128807
rhd,2033,1679000.18440803,3977.71437573526,1444246.1515395,3688.27033682478
rhd,2034,1699088.23445672,3849.43642407178,1452131.54348672,3573.92065506355
rhd,2035,1718753.13053349,3710.43177455469,1459731.84354222,3459.83284856364
rhd,2036,1738090.4467891,3578.66006488627,1467079.65428474,3347.38658867733
rhd,2037,1756628.07744538,3450.19465573699,1473902.52819172,3234.3778395614
rhd,2038,1774513.14406719,3322.82157442101,1479900.03647666,3121.32931683487
rhd,2039,1791635.12379883,3198.02305383022,1485472.31310207,3009.76982966245
rhd,2040,1808192.67265952,3069.25189350158,1490707.46557442,2897.49660635075
rhd,2041,1824239.38986346,2944.01552271229,1495555.21676978,2785.84804233516
rhd,2042,1839487.28501176,2820.51221264468,1499899.12113951,2673.84119842703
rhd,2043,1854128.65241759,2698.33092960504,1503637.12814191,2562.17674893521
rhd,2044,1868066.2686588,2573.79262430521,1507005.278353,2452.51651078816
rhd,2045,1881366.41271753,2452.74707379338,1509995.49839923,2345.14786622927
rhd,2046,1894057.50570313,2335.67260927364,1512553.33021856,2239.26066234631
rhd,2047,1906008.91351611,2222.25178382332,1514657.21899322,2134.19162325356
rhd,2048,1917385.6219481,2112.66174533725,1516398.80423209,2030.58998726718
rhd,2049,1928116.74395863,1998.59223363335,1517829.56110152,1929.40390870295
rhd,2050,1938230.99828885,1888.51500986557,1518922.90134779,1829.79514298564
