location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows
Indonesia,Female,Intracerebral hemorrhage,85-89 years,4188.15705500508,7685.23315660143,1641.07693803576,1400.76892987411,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,90-94 years,2032.76792957279,3215.48907345524,495.355543087191,1520.11356980913,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Intracerebral hemorrhage,95+ years,710.020946320532,1137.77801562255,808.479831092147,1184.62055131727,306.165592016634,67.617242667126,203,32,FALSE,0
Indonesia,Female,Ischemic heart disease,20-24 years,48.1535910836681,5952.45846541125,20.7582156626008,4249.06202306637,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,25-29 years,97.5146729363329,2298.45809458721,143.047540689803,585.152960480354,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,30-34 years,112.339972989606,1269.43274998906,140.804603701944,1949.77195555369,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,35-39 years,285.621559738504,3949.04732799068,648.293232075461,9852.45138844516,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,40-44 years,279.722961397303,10121.4052574765,374.821973252157,14684.823608652,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,45-49 years,291.626993956833,16555.4028380775,567.869488011328,17130.1869981173,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,50-54 years,493.375920043281,23742.4291298249,1023.00692718342,48888.5461780362,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,55-59 years,1225.63730924408,31254.4059495839,874.791650956012,40822.7341090257,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,60-64 years,1105.42613737632,34166.5357769218,2537.69002170684,11860.297903566,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,65-69 years,2330.20770306019,43493.7869187151,1051.02460980003,24629.9516280056,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,70-74 years,3665.29892630668,73392.1474650264,992.254303033443,49468.2869446125,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,75-79 years,6481.59686996397,90072.0503953469,3154.81993829393,68873.8337776412,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,80-84 years,6854.13694356473,82469.2635707554,2653.14421797909,60499.4757961087,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,85-89 years,5961.11390093161,49852.9747243761,2212.13705973774,39147.5808577909,233.241304360712,85.531130831683,239,32,FALSE,0
Indonesia,Female,Ischemic heart disease,90-94 years,3285.33530955659,17850.1677497682,1275.04688136486,16000.3901975448,233.241304360712,85.531130831683,239,32,FALSE,0
