"scenario_id","location","sex","age_group","cause","RMSE_deaths","RMSE_prev","error","IRadjust","CFadjust"
11,"Indonesia","Male","40-44","Cardiomyopathy and myocarditis",224.376944121087,1940.46832247668,2389.22221071885,0.8,1
11,"Indonesia","Male","40-44","Rheumatic heart disease",215.111419652389,59005.5458389999,59435.7686783047,0.8,1
11,"Indonesia","Male","40-44","hhd",388.559724677184,924.803260491116,1701.92270984548,0.8,1
11,"Indonesia","Male","40-44","ihd",2271.45047409677,48217.8655703998,52760.7665185933,0.8,1
11,"Indonesia","Male","40-44","istroke",470.40458129539,22659.4088188679,23600.2179814587,0.8,1
11,"Indonesia","Female","45-49","Cardiomyopathy and myocarditis",99.470099338435,935.539962190284,1134.48016086715,0.8,1
11,"Indonesia","Female","45-49","Rheumatic heart disease",415.109710872325,56248.5692080453,57078.78862979,0.8,1
11,"Indonesia","Female","45-49","ihd",163.335473587448,24802.05318352,25128.7241306949,0.8,1
11,"Indonesia","Female","45-49","istroke",324.851394778254,14232.5863345149,14882.2891240714,0.8,1
11,"Indonesia","Male","45-49","Cardiomyopathy and myocarditis",272.060213549425,1611.12478994299,2155.24521704184,0.8,1
11,"Indonesia","Male","45-49","Rheumatic heart disease",209.15094792825,44688.4402002432,45106.7420960997,0.8,1
11,"Indonesia","Male","45-49","ihd",1346.98384356318,48818.0410471183,51512.0087342446,0.8,1
11,"Indonesia","Male","45-49","istroke",542.967578834673,24093.5519771361,25179.4871348054,0.8,1
11,"Indonesia","Female","50-54","Cardiomyopathy and myocarditis",102.557864688736,678.283117227529,883.398846605001,0.8,1
11,"Indonesia","Female","50-54","Rheumatic heart disease",335.260000382861,40066.5068151738,40737.0268159395,0.8,1
11,"Indonesia","Female","50-54","ihd",413.65995782229,17951.4428385417,18778.7627541863,0.8,1
11,"Indonesia","Female","50-54","istroke",398.844202874497,13077.8106150296,13875.4990207786,0.8,1
11,"Indonesia","Male","50-54","Cardiomyopathy and myocarditis",285.91406619676,1097.14971591769,1668.97784831121,0.8,1
11,"Indonesia","Male","50-54","Rheumatic heart disease",185.998380900051,30795.2233668594,31167.2201286596,0.8,1
11,"Indonesia","Male","50-54","ihd",1295.32150920397,37714.9188890628,40305.5619074707,0.8,1
11,"Indonesia","Male","50-54","istroke",537.297602935625,18414.8678326295,19489.4630385008,0.8,1
11,"Indonesia","Female","55-59","Cardiomyopathy and myocarditis",117.376230916927,587.122673604612,821.875135438465,0.8,1
11,"Indonesia","Female","55-59","Rheumatic heart disease",268.727222783729,26173.8309062744,26711.2853518418,0.8,1
11,"Indonesia","Female","55-59","hhd",310.544100118767,2545.08345536107,3166.17165559861,0.8,1
11,"Indonesia","Female","55-59","ihd",685.251789188669,10638.1033234358,12008.6069018131,0.8,1
11,"Indonesia","Female","55-59","istroke",967.200366327046,8956.73074632623,10891.1314789803,0.8,1
11,"Indonesia","Male","55-59","Cardiomyopathy and myocarditis",297.111185625782,844.874716834153,1439.09708808572,0.8,1
11,"Indonesia","Male","55-59","Rheumatic heart disease",151.585051185925,19207.0684656927,19510.2385680645,0.8,1
11,"Indonesia","Male","55-59","hhd",430.427733619036,1131.62939528868,1992.48486252676,0.8,1
11,"Indonesia","Male","55-59","ihd",1984.55585279087,10341.4435586534,14310.5552642351,0.8,1
11,"Indonesia","Female","60-64","Cardiomyopathy and myocarditis",132.082735826997,759.548096820044,1023.71356847404,0.8,1
11,"Indonesia","Female","60-64","Rheumatic heart disease",190.641821750708,16421.4720074706,16802.755650972,0.8,1
11,"Indonesia","Female","60-64","hhd",402.160278666811,6355.23118737671,7159.55174471033,0.8,1
11,"Indonesia","Male","60-64","Cardiomyopathy and myocarditis",293.144541418394,1006.87763347462,1593.16671631141,0.8,1
11,"Indonesia","Male","60-64","Rheumatic heart disease",108.212690218826,11078.2476965444,11294.6730769821,0.8,1
11,"Indonesia","Male","60-64","hhd",340.886263498803,2221.68927231792,2903.46179931553,0.8,1
11,"Indonesia","Female","65-69","Cardiomyopathy and myocarditis",167.442775812862,1220.25577062012,1555.14132224584,0.8,1
11,"Indonesia","Female","65-69","Rheumatic heart disease",155.867737403794,11778.8860581709,12090.6215329785,0.8,1
11,"Indonesia","Female","65-69","hhd",816.462889168043,6445.35357196074,8078.27935029682,0.8,1
11,"Indonesia","Female","65-69","istroke",3159.42100976102,20162.5314660825,26481.3734856045,0.8,1
11,"Indonesia","Male","65-69","Cardiomyopathy and myocarditis",309.596066278277,1467.05665457315,2086.2487871297,0.8,1
11,"Indonesia","Male","65-69","Rheumatic heart disease",89.813299217545,7097.92468776204,7277.55128619713,0.8,1
11,"Indonesia","Female","70-74","Cardiomyopathy and myocarditis",221.56733172599,1734.87559637043,2178.01025982241,0.8,1
11,"Indonesia","Female","70-74","Rheumatic heart disease",120.59730355872,7575.2183874422,7816.41299455964,0.8,1
11,"Indonesia","Female","70-74","hhd",734.514431959959,7058.09285878356,8527.12172270348,0.8,1
11,"Indonesia","Female","70-74","ihd",2269.57400888042,36685.3527108945,41224.5007286554,0.8,1
11,"Indonesia","Female","70-74","istroke",2883.04590011851,23328.3511466633,29094.4429469004,0.8,1
11,"Indonesia","Male","70-74","Cardiomyopathy and myocarditis",339.041876905754,1828.53982934603,2506.62358315753,0.8,1
11,"Indonesia","Male","70-74","Rheumatic heart disease",77.5090491260429,4197.9565244112,4352.97462266328,0.8,1
11,"Indonesia","Female","75-79","Cardiomyopathy and myocarditis",282.965830952776,2195.46861362262,2761.40027552817,0.8,1
11,"Indonesia","Female","75-79","Rheumatic heart disease",72.9393238622174,4018.04716940946,4163.9258171339,0.8,1
11,"Indonesia","Female","75-79","hhd",974.385265995915,6752.35519985055,8701.12573184238,0.8,1
11,"Indonesia","Male","75-79","Cardiomyopathy and myocarditis",317.767136478765,1850.13316623071,2485.66743918824,0.8,1
11,"Indonesia","Male","75-79","Rheumatic heart disease",47.4913166897603,2037.11920033728,2132.1018337168,0.8,1
11,"Indonesia","Female","80-84","Cardiomyopathy and myocarditis",301.156454903119,2108.13404648118,2710.44695628741,0.8,1
11,"Indonesia","Female","80-84","Rheumatic heart disease",41.9045146275248,1574.35424594266,1658.16327519771,0.8,1
11,"Indonesia","Male","80-84","Cardiomyopathy and myocarditis",252.85726200367,1341.48683437266,1847.20135838,0.8,1
11,"Indonesia","Male","80-84","Rheumatic heart disease",26.0997711913265,736.293508472334,788.493050854987,0.8,1
11,"Indonesia","Female","85-89","Cardiomyopathy and myocarditis",195.899436774827,1249.13561401571,1640.93448756536,0.8,1
11,"Indonesia","Female","85-89","Rheumatic heart disease",18.5157170984939,434.926844553979,471.958278750967,0.8,1
11,"Indonesia","Male","85-89","Cardiomyopathy and myocarditis",134.873888333518,586.015080144757,855.762856811792,0.8,1
11,"Indonesia","Male","85-89","Rheumatic heart disease",10.4803873186737,188.172995891264,209.133770528611,0.8,1
11,"Indonesia","Female","90-94","Cardiomyopathy and myocarditis",91.9011269333086,407.877012419403,591.67926628602,0.8,1
11,"Indonesia","Female","90-94","Rheumatic heart disease",5.97648026145473,79.380647236698,91.3336077596075,0.8,1
11,"Indonesia","Male","90-94","Cardiomyopathy and myocarditis",48.1055117031196,128.9282148219,225.139238228139,0.8,1
11,"Indonesia","Male","90-94","Rheumatic heart disease",3.36159183433192,29.1534549729191,35.8766386415829,0.8,1
11,"Indonesia","Female","95+","Cardiomyopathy and myocarditis",7.55257943952755,28.1263244145766,43.2314832936317,0.8,1
11,"Indonesia","Female","95+","Rheumatic heart disease",0.34349328536688,3.5557045763804,4.24269114711416,0.8,1
11,"Indonesia","Male","95+","Cardiomyopathy and myocarditis",2.96867018754593,6.23979999100453,12.1771403660964,0.8,1
11,"Indonesia","Male","95+","Rheumatic heart disease",0.206869358925648,1.11033845481275,1.52407717266405,0.8,1
14,"Indonesia","Male","75-79","istroke",1125.39453246339,21544.1297825826,23794.9188475094,0.85,0.6
16,"Indonesia","Female","80-84","istroke",939.809165329573,9424.10732395327,11303.7256546124,0.85,0.7
17,"Indonesia","Male","70-74","istroke",998.797992261431,26904.100767465,28901.6967519879,0.85,0.75
19,"Indonesia","Male","45-49","hhd",41.0946758581417,385.152933677663,467.342285393947,0.85,0.85
22,"Indonesia","Female","45-49","hhd",47.9497094392315,351.618045852084,447.517464730547,0.85,1
28,"Indonesia","Female","85-89","hstroke",325.499193393645,762.989605670299,1413.98799245759,0.9,0.75
29,"Indonesia","Male","75-79","hstroke",1353.16502236688,1964.28170286741,4670.61174760116,0.9,0.8
29,"Indonesia","Female","80-84","ihd",962.660122147021,15031.8272687098,16957.1475130038,0.9,0.8
29,"Indonesia","Male","80-84","hstroke",597.140093244356,882.858330810119,2077.13851729883,0.9,0.8
30,"Indonesia","Female","65-69","hstroke",1534.75261328511,4623.22989219362,7692.73511876384,0.9,0.85
31,"Indonesia","Female","45-49","hstroke",255.771074125024,1763.32382965495,2274.865977905,0.9,0.9
37,"Indonesia","Male","80-84","ihd",1266.26570966773,12124.0732931017,14656.6047124372,0.95,0.65
40,"Indonesia","Male","70-74","hstroke",1681.48707570788,3322.72655675445,6685.7007081702,0.95,0.8
42,"Indonesia","Male","45-49","hstroke",326.510471094732,1846.73611044597,2499.75705263544,0.95,0.9
45,"Indonesia","Female","85-89","hhd",403.107164720127,1596.9381462748,2403.15247571505,1,0.5
45,"Indonesia","Female","85-89","ihd",1288.70164502906,6182.69350013686,8760.09679019499,1,0.5
45,"Indonesia","Male","85-89","hhd",310.43098744609,1592.95261820195,2213.81459309413,1,0.5
