location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,pct_improvement
Indonesia,Male,Cardiomyopathy and myocarditis,25-29 years,29.2336154307874,248.028421551068,38.9654165652504,427.162325396424,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,30-34 years,30.4061838499606,289.422138944056,83.7965564450136,405.268103044854,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,35-39 years,15.9849735029061,130.204722212115,22.7839690821459,277.203667369399,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,40-44 years,48.5191982906691,47.5892234734396,90.4751609767773,165.554910123444,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,45-49 years,15.8757107075092,48.3832627927829,88.551292183537,296.078268204918,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,50-54 years,58.4731818287899,132.256395167621,89.5224265735098,301.818693189706,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,55-59 years,95.2655437178327,331.922009881465,42.4914564418589,175.29097521084,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,60-64 years,53.3488029849957,362.974130260509,35.5947239317449,290.220842463868,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,65-69 years,89.2278870276914,288.73688770759,19.3294476598672,207.645923819901,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,70-74 years,110.468227998023,743.21545065103,39.5413690026838,826.476855094409,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,75-79 years,211.532063932813,1251.51563499472,133.501420168751,1167.49023342137,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,80-84 years,249.782737204253,1595.43585733005,169.900321802863,548.197087018068,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,85-89 years,244.305304185946,1131.20024682206,66.5184774925724,339.381507335235,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,90-94 years,158.476867927468,445.96771451681,60.526355718119,558.585596779136,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Cardiomyopathy and myocarditis,95+ years,65.6306905326921,130.635674459949,67.0343086766481,98.6336868486441,286.788390085317,108.358627131707,401,32,FALSE,0,62.2165223984585
Indonesia,Male,Hypertensive heart disease,20-24 years,14.2014204854513,162.001774017,5.52580096309664,143.435753070757,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
Indonesia,Male,Hypertensive heart disease,25-29 years,24.751877140783,120.386384743616,6.8686694490885,60.3444359593458,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
Indonesia,Male,Hypertensive heart disease,30-34 years,31.2620002381483,316.035467209189,74.9291971271353,89.8817463265214,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
Indonesia,Male,Hypertensive heart disease,35-39 years,87.550552738362,605.301239757335,46.2628380860888,532.10738938839,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
Indonesia,Male,Hypertensive heart disease,40-44 years,226.425678914726,934.177655454618,177.872546535801,570.350355661031,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
Indonesia,Male,Hypertensive heart disease,45-49 years,200.887064566758,566.553086905763,251.820399309817,2116.5246865399,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
Indonesia,Male,Hypertensive heart disease,50-54 years,275.518305619445,360.074780501105,428.905378375289,2414.67003304527,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
Indonesia,Male,Hypertensive heart disease,55-59 years,860.086680740083,3656.17579976232,1165.20997240048,4054.91886668254,195.779943173631,105.744141144629,401,32,FALSE,0,45.9882665044763
