age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
23,Female,hhd,2009,Indonesia,0.00126595963891146,0.00142490015901145,0.00142220718513221,9.154146905708e-05,2.69297387923298e-06,2080506.5,,,,,,,,,,,,,,,,,,,,,,,,,1.88679390932442e-05,0.0381964676983903,2080506.5,,,0,0
6,Female,cmd,2036,Indonesia,0.000429640791890211,0.00061264457534351,0.000610801897873231,0.0001663520460101,1.84267747027869e-06,2402716,,,,,,,,,,,,,,,,,,,,,,,,,2.52829744973202e-06,0.00725174938699096,2402716,,,0,0
87,Male,istroke,2003,Indonesia,0.0695441643006174,0.119708652393805,0.104052304824375,0.10761421221217,0.0156563475694294,23087,,,,,,,,,,,,,,,,,,,,,,,,,0.0352883707767157,0.225674135900837,23087,,,0,0
33,Female,hhd,2010,Indonesia,0.0015619779821363,0.00196491053191767,0.00195123043578151,0.00021410105030608,1.36800961361585e-05,1979491.5,,,,,,,,,,,,,,,,,,,,,,,,,6.58577937976709e-05,0.100473215549708,1979491.5,,,0,0
77,Male,ihd,2005,Indonesia,0.0355763812002869,0.0658050278401716,0.05617170420113,0.106259354311316,0.00963332363904166,190865,,,,,,,,,,,,,,,,,,,,,,,,,0.00824801497770113,0.0691775498752943,190865,,,0,0
67,Female,istroke,2026,Indonesia,0.00928352915064402,0.0190287483815503,0.0177913949063076,0.0368343305083508,0.00123735347524267,730291.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00239385261111904,0.0473803323194264,730291.5,,,0,0
88,Female,hstroke,2027,Indonesia,0.0504036267812755,0.0912283130541452,0.0842260901218397,0.0139569134946127,0.00700222293230554,68346.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00755265942757284,0.299028795513595,68346.5,,,0,0
81,Male,ihd,2040,Indonesia,0.0391367855670285,0.0769597799288929,0.0653808667198599,0.117591975829146,0.0115789132090329,163265,,,,,,,,,,,,,,,,,,,,,,,,,0.00942449309899631,0.0809278350889808,163265,,,0,0
20,Female,cmd,2019,Indonesia,0.000968631280683879,0.00110693761571382,0.00110109449567635,0.00018305123947932,5.84312003747336e-06,2143706,,,,,,,,,,,,,,,,,,,,,,,,,7.56093988322867e-06,0.0435445354659941,2143706,,,0,0
67,Female,rhd,2004,Indonesia,0.0127387829768679,0.0241401422305581,0.0240837030055426,0.0040661282938381,5.64392250154554e-05,571705,,,,,,,,,,,,,,,,,,,,,,,,,6.50898323951504e-05,0.0111759456080845,571705,,,0,0
