location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,nm_converged,pct_improvement
Indonesia,Female,Rheumatic heart disease,30-34 years,16.3381887829805,7803.87569405158,54.347886883147,7828.50998111576,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,35-39 years,52.3725738119333,2638.1559474679,68.8693630878761,2164.88369786625,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,40-44 years,48.1761281582023,6039.7789332084,220.64332174557,6805.42601547008,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,45-49 years,115.581135593954,10768.3272018141,213.00424216371,11283.4543266023,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,50-54 years,118.188549632516,11533.2508267108,197.602850908277,12048.4900647496,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,55-59 years,111.312256979831,10101.0785380756,165.437123345158,10430.2136252233,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,60-64 years,95.8327631518318,7266.05746989564,34.5506485562143,7487.39151476171,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,65-69 years,75.1039893499343,5126.45238733612,50.337682439704,5087.63438146937,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,70-74 years,74.5506438054867,4743.43590940922,35.3495920902898,4752.35833649074,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,75-79 years,64.5031147470602,3838.31750301819,24.781220268592,4182.36393288165,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,80-84 years,52.3461980458171,2473.51440871084,18.6859602275878,2751.54309049495,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,85-89 years,37.006528164048,1079.70990728227,14.9662327234727,1138.74242522045,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,90-94 years,18.3617765888209,281.221172029252,7.12551732512363,307.345654291981,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Female,Rheumatic heart disease,95+ years,7.51886209603315,70.1926635919972,8.29012912444132,67.2328146743746,512.003200438671,231.623219945455,2506,32,FALSE,0,FALSE,54.7613726345838
Indonesia,Male,Cardiomyopathy and myocarditis,20-24 years,20.1404388131086,83.5396717676361,27.6253404041076,104.856159120585,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,25-29 years,29.2336154307874,248.028421551068,25.0689661038455,109.560035293235,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,30-34 years,30.4061838499606,289.422138944056,36.2514810048195,110.039245974052,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,35-39 years,15.9849735029061,130.204722212115,29.9335055822925,259.242327569124,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,40-44 years,48.5191982906691,47.5892234734396,137.259226315081,113.635684564887,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,45-49 years,15.8757107075092,48.3832627927829,119.601802263061,154.393525140294,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,50-54 years,58.4731818287899,132.256395167621,159.456040831846,83.3810591193484,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,55-59 years,95.2655437178327,331.922009881465,60.2049907785015,446.068397326857,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,60-64 years,53.3488029849957,362.974130260509,90.289503588039,213.819981066668,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,65-69 years,89.2278870276914,288.73688770759,26.5456704438536,150.98129648415,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,70-74 years,110.468227998023,743.21545065103,92.3483903638893,855.881188129554,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
Indonesia,Male,Cardiomyopathy and myocarditis,75-79 years,211.532063932813,1251.51563499472,114.345045876917,1115.80832611131,286.788390085317,112.210400813668,2506,32,FALSE,0,FALSE,60.873450706883
